file,emotion
C:/proje/ser_proje\dataset\Angry\1157_kz_acik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_algi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_beste.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_bugu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_cay.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_cekirge.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_cene.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_ceren.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_cilek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_demet.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_demir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_deve.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_deyim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_dil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_dizge.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_dugun.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_eger.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_elmacik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_eski.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_firildak.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_gezi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_gicik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_goz.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_gunes.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_gurbuz.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_hekim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_igde.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_isirgan.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_japon.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_kagit.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_karton.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_kedi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_kemik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_kibir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_kiler.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_koku.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_konuk.wav,Angry
