feature,importance
mfcc_1_std,0.027260752
loudness_sma3_pctlrange0-2,0.021401593
mfcc_1_max,0.019918552
mfcc_20_mean,0.015923645
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.0136417905
loudness_sma3_percentile80.0,0.013034523
spectralFluxV_sma3nz_amean,0.012310149
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.011448643
loudness_sma3_percentile20.0,0.011352035
equivalentSoundLevel_dBp,0.010938056
mfcc_1_min,0.0109040085
mfcc_delta_1_std,0.010560762
mfcc_19_max,0.010444994
slopeV0-500_sma3nz_stddevNorm,0.01020752
loudness_sma3_stddevNorm,0.010202067
mfcc_20_max,0.010130254
mfcc_8_max,0.009915636
mfcc_17_mean,0.009893312
slopeV0-500_sma3nz_amean,0.009789429
mfcc_16_mean,0.009784885
mfcc_12_mean,0.009728578
loudness_sma3_amean,0.009680494
spectralFlux_sma3_amean,0.009169884
mfcc_delta_6_std,0.008930934
mfcc_delta_11_std,0.008740115
mfcc_1_mean,0.008640836
mfcc_11_mean,0.008452513
mfcc_9_min,0.008343605
mfcc_13_mean,0.008297686
mfcc_17_max,0.008251577
mfcc_18_mean,0.008106596
mfcc4_sma3_stddevNorm,0.007962849
mfcc_12_min,0.0077862274
mfcc_8_mean,0.007526972
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.00745645
hammarbergIndexV_sma3nz_stddevNorm,0.0073296996
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.0073272185
mfcc_18_max,0.007243982
mfcc_16_max,0.0072162664
mfcc_12_max,0.0070448164
slopeUV500-1500_sma3nz_amean,0.006907472
mfcc_7_mean,0.006791026
mfcc_11_min,0.006715493
mfcc_3_min,0.0066945427
HNRdBACF_sma3nz_amean,0.0062302435
mfcc_5_min,0.006139237
F1amplitudeLogRelF0_sma3nz_amean,0.0061368067
mfcc_2_std,0.0061317813
hammarbergIndexV_sma3nz_amean,0.00575389
mfcc_delta_7_std,0.005589733
mfcc_delta_20_std,0.0054492326
alphaRatioV_sma3nz_amean,0.005407309
mfcc_delta2_1_std,0.005262761
mfcc_10_mean,0.005173936
mfcc3V_sma3nz_amean,0.0050903796
loudness_sma3_percentile50.0,0.005087246
mfcc_9_std,0.005083971
mfcc4_sma3_amean,0.005029966
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.005026224
mfcc_5_std,0.00497555
mfcc_14_min,0.004860593
mfcc_delta_15_std,0.0047968836
mfcc_13_max,0.004753042
mfcc_delta2_9_mean,0.004741978
mfcc_16_min,0.0047393986
loudness_sma3_stddevRisingSlope,0.004685439
mfcc_8_std,0.004564916
mfcc_14_mean,0.004561151
mfcc_11_std,0.0045298007
HNRdBACF_sma3nz_stddevNorm,0.0042639067
mfcc_17_std,0.004229769
mfcc_delta_17_std,0.004222186
mfcc_13_min,0.004175648
mfcc_delta2_2_std,0.004131588
F1frequency_sma3nz_amean,0.0041133435
mfcc_delta_9_std,0.0040351814
mfcc_17_min,0.0040071877
F2frequency_sma3nz_stddevNorm,0.0039891344
spectralFluxUV_sma3nz_amean,0.0039313263
mfcc_7_max,0.003921289
mfcc4V_sma3nz_amean,0.0038987128
mfcc_delta2_1_mean,0.0037871117
mfcc_delta_8_std,0.003748024
mfcc_15_mean,0.0036869314
mfcc_9_mean,0.0036842616
mfcc_delta_11_mean,0.0036571624
mfcc_3_mean,0.0035847984
mfcc_11_max,0.003538514
mfcc_delta_1_mean,0.0035310565
mfcc_14_std,0.0035203802
MeanUnvoicedSegmentLength,0.003519074
hammarbergIndexUV_sma3nz_amean,0.0034425117
mfcc_15_min,0.0034413803
mfcc_delta2_2_mean,0.0034321167
mfcc_18_min,0.0034249865
mfcc_4_max,0.0033987795
F2amplitudeLogRelF0_sma3nz_amean,0.0033986764
alphaRatioUV_sma3nz_amean,0.0033484458
mfcc_delta2_10_std,0.0033422105
alphaRatioV_sma3nz_stddevNorm,0.0033251187
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.003322796
mfcc_delta_12_std,0.0033156099
mfcc_4_mean,0.0032883794
mfcc_19_mean,0.0032806548
slopeV500-1500_sma3nz_amean,0.0032642805
mfcc_delta_17_mean,0.0032640195
mfcc_7_min,0.0032635094
loudness_sma3_meanRisingSlope,0.0032479556
VoicedSegmentsPerSec,0.0032458317
mfcc_15_std,0.003195796
mfcc_delta2_17_std,0.003150347
mfcc_5_mean,0.0031306555
loudness_sma3_stddevFallingSlope,0.0031176785
slopeUV0-500_sma3nz_amean,0.0031125594
mfcc4V_sma3nz_stddevNorm,0.003093867
F0semitoneFrom27.5Hz_sma3nz_amean,0.0030454886
F1frequency_sma3nz_stddevNorm,0.0030133808
mfcc_delta_14_std,0.0029991586
mfcc1_sma3_amean,0.0029769
F2frequency_sma3nz_amean,0.0029151973
mfcc_10_std,0.0028973576
mfcc_delta_16_std,0.0028823558
mfcc_delta_18_mean,0.0028488212
mfcc_delta2_5_mean,0.002836532
mfcc_8_min,0.0028300572
StddevVoicedSegmentLengthSec,0.002811398
mfcc_6_min,0.002767455
mfcc2V_sma3nz_amean,0.002760832
mfcc_delta2_12_std,0.0027502824
mfcc_delta_5_std,0.002745229
mfcc_19_min,0.0027353624
mfcc_delta2_19_mean,0.002730237
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0026978478
mfcc_10_min,0.0026440325
F3bandwidth_sma3nz_amean,0.0026319886
loudness_sma3_meanFallingSlope,0.0026307323
loudnessPeaksPerSec,0.0026035851
F3bandwidth_sma3nz_stddevNorm,0.0025968873
mfcc_6_max,0.002591081
mfcc3_sma3_amean,0.0025905103
mfcc_3_std,0.0025834183
mfcc_delta_2_mean,0.0025753407
MeanVoicedSegmentLengthSec,0.0025747789
mfcc_6_std,0.0025699122
shimmerLocaldB_sma3nz_stddevNorm,0.002566325
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.0025486052
mfcc_7_std,0.002521064
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.0025118415
mfcc_delta2_12_mean,0.0025033955
mfcc_delta2_4_mean,0.002471138
mfcc_delta_2_std,0.0024520718
mfcc_2_min,0.0024425515
logRelF0-H1-H2_sma3nz_stddevNorm,0.0024337277
mfcc1_sma3_stddevNorm,0.0024307172
mfcc3_sma3_stddevNorm,0.002408619
mfcc_delta_19_std,0.0023886764
mfcc_3_max,0.002383968
mfcc_12_std,0.0023602408
mfcc_delta2_6_std,0.0023454635
mfcc_9_max,0.002336166
mfcc_20_min,0.0023300122
mfcc_delta2_15_mean,0.0023293328
mfcc_4_std,0.0023067233
mfcc_19_std,0.0022954894
mfcc_delta2_10_mean,0.0022912875
